question_id	question_rank	document_title	paragraph_index
1	1	MP3	11
1	2	Somalis	46
1	3	Buddhism	31
1	4	Bern	10
1	5	American_Idol	26
4	1	Bern	49
4	2	Hunter-gatherer	2
4	3	National_Archives_and_Records_Administration	27
4	4	The_Times	35
4	5	Materialism	6
7	1	The_Times	35
7	2	Bern	49
7	3	University_of_Kansas	15
7	4	Marshall_Islands	43
7	5	Materialism	6
10	1	Hunter-gatherer	2
10	2	BBC_Television	30
10	3	The_Times	35
10	4	Aspirated_consonant	17
10	5	Architecture	8
13	1	Estonian_language	24
13	2	The_Times	35
13	3	Hunter-gatherer	2
13	4	Aspirated_consonant	17
13	5	Phonology	13
16	1	Bern	49
16	2	Materialism	6
16	3	The_Times	35
16	4	MP3	11
16	5	Marshall_Islands	43
19	1	Hunter-gatherer	2
19	2	The_Times	35
19	3	BBC_Television	30
19	4	MP3	11
19	5	Wood	46
22	1	Wood	46
22	2	Hunter-gatherer	2
22	3	The_Times	35
22	4	Brain	13
22	5	Architecture	8
25	1	The_Times	35
25	2	BBC_Television	30
25	3	MP3	11
25	4	Marshall_Islands	43
25	5	Bern	49
28	1	University_of_Kansas	15
28	2	Materialism	6
28	3	MP3	11
28	4	Bern	49
28	5	Wayback_Machine	9
31	1	2008_Summer_Olympics_torch_relay	73
31	2	Bern	49
31	3	MP3	11
31	4	The_Times	35
31	5	Architecture	8
34	1	Materialism	6
34	2	Immunology	8
34	3	National_Archives_and_Records_Administration	27
34	4	The_Times	35
34	5	New_York_City	134
37	1	MP3	11
37	2	The_Times	35
37	3	Hunter-gatherer	10
37	4	Bern	49
37	5	University_of_Kansas	15
40	1	Bern	49
40	2	Aspirated_consonant	17
40	3	Hunter-gatherer	2
40	4	Immunology	8
40	5	The_Times	35
43	1	The_Times	35
43	2	Slavs	34
43	3	Southampton	37
43	4	Bern	49
43	5	Architecture	8
46	1	MP3	11
46	2	Buddhism	31
46	3	Guinea-Bissau	38
46	4	Somalis	46
46	5	National_Archives_and_Records_Administration	18
49	1	Materialism	6
49	2	Bern	49
49	3	2008_Summer_Olympics_torch_relay	73
49	4	Near_East	18
49	5	The_Times	35
52	1	Hunter-gatherer	2
52	2	Marshall_Islands	43
52	3	Bern	49
52	4	The_Times	35
52	5	National_Archives_and_Records_Administration	27
55	1	MP3	11
55	2	University_of_Kansas	15
55	3	Bern	49
55	4	2008_Summer_Olympics_torch_relay	73
55	5	Bern	10
58	1	Hunter-gatherer	2
58	2	Marshall_Islands	43
58	3	The_Times	35
58	4	Bern	49
58	5	Aspirated_consonant	17
61	1	Marshall_Islands	43
61	2	The_Times	35
61	3	Immunology	8
61	4	Sony_Music_Entertainment	22
61	5	Hunter-gatherer	2
64	1	MP3	11
64	2	Hunter-gatherer	2
64	3	Russian_Soviet_Federative_Socialist_Republic	20
64	4	The_Times	35
64	5	Architecture	8
67	1	Marshall_Islands	43
67	2	Hunter-gatherer	2
67	3	Immunology	8
67	4	Architecture	8
67	5	The_Times	35
70	1	Architecture	8
70	2	The_Times	35
70	3	2008_Summer_Olympics_torch_relay	73
70	4	Hunter-gatherer	2
70	5	Daylight_saving_time	13
73	1	The_Times	35
73	2	Bern	49
73	3	Marshall_Islands	43
73	4	Hunter-gatherer	2
73	5	Wood	46
76	1	Materialism	6
76	2	Estonian_language	24
76	3	The_Times	35
76	4	Marshall_Islands	43
76	5	Architecture	8
79	1	Buddhism	31
79	2	MP3	11
79	3	Institute_of_technology	2
79	4	Somalis	46
79	5	2008_Summer_Olympics_torch_relay	73
82	1	Architecture	8
82	2	Near_East	18
82	3	Hunter-gatherer	2
82	4	Canadian_Armed_Forces	41
82	5	Aspirated_consonant	17
85	1	Hunter-gatherer	2
85	2	Architecture	8
85	3	Marshall_Islands	43
85	4	The_Times	35
85	5	BBC_Television	30
88	1	Materialism	6
88	2	Near_East	18
88	3	Southampton	37
88	4	Bern	49
88	5	Architecture	8
91	1	Near_East	18
91	2	The_Times	35
91	3	Architecture	8
91	4	Daylight_saving_time	13
91	5	Aspirated_consonant	17
94	1	Hunter-gatherer	2
94	2	Estonian_language	24
94	3	Bern	49
94	4	Bern	10
94	5	University_of_Kansas	15
97	1	Immunology	8
97	2	Marshall_Islands	43
97	3	Hunter-gatherer	2
97	4	Josip_Broz_Tito	32
97	5	2008_Summer_Olympics_torch_relay	73
100	1	MP3	11
100	2	University_of_Kansas	15
100	3	Materialism	6
100	4	Bern	49
100	5	2008_Summer_Olympics_torch_relay	73
103	1	National_Archives_and_Records_Administration	27
103	2	The_Times	35
103	3	Classical_music	56
103	4	Buddhism	31
103	5	Aspirated_consonant	5
106	1	Phonology	13
106	2	Immunology	8
106	3	The_Times	35
106	4	Architecture	8
106	5	Materialism	6
